CƠ CẤU LỰC LƯỢNG LAO ĐỘNG TỪ 15 TUỔI TRỞ LÊN CHIA THEO TRÌNH ĐỘ CHUYÊN MÔN KỸ THUẬT. NĂM 2020,,,,,,,,,,
,,Tổng số,,,Thành thị,,,Nông thôn,,
Đồng bằng sông Hồng,Dạy nghề,6.2 ,11.3 ,1.0 ,7.4 ,13.1 ,1.6 ,5.6 ,10.5 ,0.7 
Đồng bằng sông Hồng,Trung cấp,6.0 ,7.2 ,4.7 ,7.6 ,8.2 ,7.0 ,5.2 ,6.8 ,3.6 
Đồng bằng sông Hồng,Cao đẳng,5.1 ,4.7 ,5.5 ,6.9 ,6.7 ,7.2 ,4.2 ,3.7 ,4.7 
Đồng bằng sông Hồng,Đại học trở lên,15.0 ,14.6 ,15.4 ,30.0 ,29.5 ,30.6 ,7.9 ,7.5 ,8.3 
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Không có trình độ chuyên môn kỹ thuật,77.9,74.7,81.5,60,56,64.4,84.3,81.3,87.7
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Dạy nghề,4.5,8.1,0.7,6.9,12.3,1.2,3.7,6.6,0.5
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Trung cấp,4.5,5.1,3.9,6.6,6.7,6.5,3.8,4.5,2.9
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Cao đẳng,3.8,3.2,4.3,5.9,5,6.9,3,2.6,3.4
Bắc Trung Bộ và Duyên hải miền Trung Tổng số,Đại học trở lên,9.3,8.9,9.6,20.5,20,21.1,5.2,5,5.5
Tây Nguyên,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Tây Nguyên,Không có trình độ chuyên môn kỹ thuật,83.6,81.2 ,86.3 ,64.8 ,61.0 ,68.9 ,90.4 ,88.5 ,92.6 
Tây Nguyên,Dạy nghề,4,7.2,0.5 ,6.6 ,11.8 ,0.9 ,3.1 ,5.5 ,0.4 
Tây Nguyên,Trung cấp,3,2.9,3.2 ,5.3 ,4.9 ,5.8 ,2.2 ,2.2 ,2.2 
Tây Nguyên,Cao đẳng,2.2,1.8,2.6 ,4.0 ,3.6 ,4.5 ,1.5 ,1.1 ,2.0 
Tây Nguyên,Đại học trở lên,7.2,7,7.4 ,19.3 ,18.7 ,19.9 ,2.8 ,2.7 ,2.9 
Đông Nam Bộ,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Đông Nam Bộ,Không có trình độ chuyên môn kỹ thuật,71,68.4 ,74.1 ,65.3 ,62.7 ,68.4 ,81.2 ,78.3 ,84.8 
Đông Nam Bộ,Dạy nghề,5.1,8.8 ,0.6 ,5.0 ,8.8 ,0.7 ,5.2 ,8.9 ,0.6 
Đông Nam Bộ,Trung cấp,3.7,3.9 ,3.5 ,4.0 ,4.2 ,3.7 ,3.1 ,3.3 ,2.9 
Đông Nam Bộ,Cao đẳng,4.3,3.8 ,4.9 ,5.0 ,4.5 ,5.5 ,3.0 ,2.5 ,3.7 
Đông Nam Bộ,Đại học trở lên,15.9,15.1 ,16.9 ,20.6 ,19.7 ,21.7 ,7.4 ,7.0 ,8.0 
Đồng bằng sông Cửu Long,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Đồng bằng sông Cửu Long,Không có trình độ chuyên môn kỹ thuật,85.4,83.5 ,88.0 ,74.7 ,71.7 ,78.5 ,88.8 ,87.1 ,91.1 
Đồng bằng sông Cửu Long,Dạy nghề,3.4,5.6 ,0.4 ,5.0 ,8.3 ,0.8 ,2.9 ,4.7 ,0.3 
Đồng bằng sông Cửu Long,Trung cấp,2.6,2.8 ,2.4 ,3.9 ,4.1 ,3.7 ,2.2 ,2.4 ,2.0 
Đồng bằng sông Cửu Long,Cao đẳng,1.9,1.7 ,2.1 ,3.1 ,2.8 ,3.5 ,1.5 ,1.4 ,1.6 
Đồng bằng sông Cửu Long,Đại học trở lên,6.7,6.5 ,7.0 ,13.3 ,13.2 ,13.5 ,4.6 ,4.4 ,4.9 
Hà Nội,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
Hà Nội,Không có trình độ chuyên môn kỹ thuật,55.8,52.0 ,59.7 ,38.7 ,35.0 ,42.5 ,69.1 ,65.0 ,73.5 
Hà Nội,Dạy nghề,6.6,11.7 ,1.3 ,6.3 ,11.0 ,1.5 ,6.8 ,12.1 ,1.2 
Hà Nội,Trung cấp,6.8,7.1 ,6.5 ,7.3 ,7.4 ,7.3 ,6.4 ,6.9 ,5.8 
Hà Nội,Cao đẳng,6.2,5.4 ,7.1 ,7.1 ,6.8 ,7.5 ,5.5 ,4.4 ,6.7 
Hà Nội,Đại học trở lên,24.6,23.8 ,25.4 ,40.5 ,39.8 ,41.2 ,12.2 ,11.5 ,12.9 
TP.HCM,Tổng số,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 
TP.HCM,Không có trình độ chuyên môn kỹ thuật,61.9,59.9 ,64.2 ,58.3 ,56.2 ,60.8 ,74.7 ,72.6 ,77.6 
TP.HCM,Dạy nghề,4.7,8.2 ,0.5 ,4.6 ,8.1 ,0.6 ,4.9 ,8.4 ,0.3 
TP.HCM,Trung cấp,4,4.0 ,3.9 ,4.2 ,4.3 ,4.2 ,3.1 ,3.3 ,2.9 
TP.HCM,Cao đẳng,5.8,5.1 ,6.6 ,6.1 ,5.5 ,6.8 ,4.7 ,4.0 ,5.6 
TP.HCM,Đại học trở lên,23.6,22.7 ,24.7 ,26.7 ,25.9 ,27.6 ,12.6 ,11.8 ,13.6 
