Khu vực,Loại,Quý,Chung,Nam,Nữ
NÔNG THÔN,Ngoài nhà nước,quý 3,6 681,7 071,6 346
NÔNG THÔN,Nhà nước,quý 3,5 717,6 088,5 006
NÔNG THÔN,Vốn đầu tư nước ngoài,quý 3,6 503,6 935,6 282
V1 Trung du và miền núi phía Bắc,TỔNG SỐ,quý 3,6 191,6 226,6 142
V1 Trung du và miền núi phía Bắc,Ngoài nhà nước,quý 3,7 263,7 423,7 133
V1 Trung du và miền núi phía Bắc,Nhà nước,quý 3,5 589,5 763,5 187
V1 Trung du và miền núi phía Bắc,Vốn đầu tư nước ngoài,quý 3,6 798,7 419,6 493
V2 Đồng bằng sông Hồng,TỔNG SỐ,quý 3,6 911,7 317,6 459
V2 Đồng bằng sông Hồng,Ngoài nhà nước,quý 3,7 479,8 057,6 995
V2 Đồng bằng sông Hồng,Nhà nước,quý 3,6 781,7 148,6 252
V2 Đồng bằng sông Hồng,Vốn đầu tư nước ngoài,quý 3,6 790,7 376,6 478
Hà Nội,TỔNG SỐ,quý 3,7 732,8 155,7 257
Hà Nội,Ngoài nhà nước,quý 3,8 216,9 129,7 405
Hà Nội,Nhà nước,quý 3,7 601,7 921,7 177
Hà Nội,Vốn đầu tư nước ngoài,quý 3,7 596,7 963,7 369
V3 Bắc Trung Bộ và Duyên hải miền Trung,TỔNG SỐ,quý 3,5 825,6 195,5 251
V3 Bắc Trung Bộ và Duyên hải miền Trung,Ngoài nhà nước,quý 3,6 929,7 408,6 491
V3 Bắc Trung Bộ và Duyên hải miền Trung,Nhà nước,quý 3,5 576,5 991,4 758
V3 Bắc Trung Bộ và Duyên hải miền Trung,Vốn đầu tư nước ngoài,quý 3,5 695,6 172,5 478
V4 Tây Nguyên,TỔNG SỐ,quý 3,5 561,5 867,5 120
V4 Tây Nguyên,Ngoài nhà nước,quý 3,7 360,7 964,6 778
V4 Tây Nguyên,Nhà nước,quý 3,4 829,5 207,4 173
V4 Tây Nguyên,Vốn đầu tư nước ngoài,quý 3,6 020,6 655,5 663
V5 Đông Nam Bộ,TỔNG SỐ,quý 3,7 499,7 935,6 981
V5 Đông Nam Bộ,Ngoài nhà nước,quý 3,7 980,8 612,7 354
V5 Đông Nam Bộ,Nhà nước,quý 3,7 521,7 913,6 931
V5 Đông Nam Bộ,Vốn đầu tư nước ngoài,quý 3,7 202,7 616,6 919
Thành phố Hồ Chí Minh,TỔNG SỐ,quý 3,8 167,8 623,7 623
Thành phố Hồ Chí Minh,Ngoài nhà nước,quý 3,8 608,9 326,7 843
Thành phố Hồ Chí Minh,Nhà nước,quý 3,8 129,8 494,7 642
Thành phố Hồ Chí Minh,Vốn đầu tư nước ngoài,quý 3,7 873,8 856,7 304
V6 Đồng bằng sông Cửu Long,TỔNG SỐ,quý 3,5 578,5 991,4 929
V6 Đồng bằng sông Cửu Long,Ngoài nhà nước,quý 3,6 846,7 386,6 195
V6 Đồng bằng sông Cửu Long,Nhà nước,quý 3,5 311,5 769,4 424
V6 Đồng bằng sông Cửu Long,Vốn đầu tư nước ngoài,quý 3,5 837,6 081,5 732
TỔNG SỐ,TỔNG SỐ,quý 4,6 649,6 925,6 290
TỔNG SỐ,Ngoài nhà nước,quý 4,7 043,7 630,6 510
TỔNG SỐ,Nhà nước,quý 4,6 406,6 677,5 950
TỔNG SỐ,Vốn đầu tư nước ngoài,quý 4,7 370,7 900,7 056
THÀNH THỊ,TỔNG SỐ,quý 4,7 264,7 613,6 843
THÀNH THỊ,Ngoài nhà nước,quý 4,7 349,7 922,6 803
THÀNH THỊ,Nhà nước,quý 4,7 151,7 455,6 709
THÀNH THỊ,Vốn đầu tư nước ngoài,quý 4,7 671,8 119,7 346
NÔNG THÔN,TỔNG SỐ,quý 4,6 224,6 475,5 878
NÔNG THÔN,Ngoài nhà nước,quý 4,6 708,7 292,6 205
NÔNG THÔN,Nhà nước,quý 4,5 941,6 234,5 398
NÔNG THÔN,Vốn đầu tư nước ngoài,quý 4,7 175,7 725,6 891
V1 Trung du và miền núi phía Bắc,TỔNG SỐ,quý 4,6 154,6 287,5 972
V1 Trung du và miền núi phía Bắc,Ngoài nhà nước,quý 4,6 506,7 017,6 104
V1 Trung du và miền núi phía Bắc,Nhà nước,quý 4,5 766,5 935,5 402
V1 Trung du và miền núi phía Bắc,Vốn đầu tư nước ngoài,quý 4,7 232,7 724,6 975
V2 Đồng bằng sông Hồng,TỔNG SỐ,quý 4,7 052,7 476,6 579
V2 Đồng bằng sông Hồng,Ngoài nhà nước,quý 4,7 462,8 261,6 824
V2 Đồng bằng sông Hồng,Nhà nước,quý 4,6 929,7 288,6 407
V2 Đồng bằng sông Hồng,Vốn đầu tư nước ngoài,quý 4,7 132,7 767,6 809
Hà Nội,TỔNG SỐ,quý 4,7 680,8 194,7 114
Hà Nội,Ngoài nhà nước,quý 4,8 247,9 152,7 480
Hà Nội,Nhà nước,quý 4,7 574,7 984,7 034
Hà Nội,Vốn đầu tư nước ngoài,quý 4,7 244,8 030,6 852
V3 Bắc Trung Bộ và Duyên hải miền Trung,TỔNG SỐ,quý 4,5 732,6 014,5 297
V3 Bắc Trung Bộ và Duyên hải miền Trung,Ngoài nhà nước,quý 4,6 351,7 071,5 732
V3 Bắc Trung Bộ và Duyên hải miền Trung,Nhà nước,quý 4,5 546,5 814,5 027
V3 Bắc Trung Bộ và Duyên hải miền Trung,Vốn đầu tư nước ngoài,quý 4,6 315,6 726,6 116
V4 Tây Nguyên,TỔNG SỐ,quý 4,5 244,5 584,4 784
V4 Tây Nguyên,Ngoài nhà nước,quý 4,6 607,7 373,5 909
V4 Tây Nguyên,Nhà nước,quý 4,4 721,5 067,4 167
V4 Tây Nguyên,Vốn đầu tư nước ngoài,quý 4,7 771,8 869,7 334
V5 Đông Nam Bộ,TỔNG SỐ,quý 4,7 905,8 267,7 468
V5 Đông Nam Bộ,Ngoài nhà nước,quý 4,8 280,8 654,7 886
V5 Đông Nam Bộ,Nhà nước,quý 4,7 826,8 192,7 269
V5 Đông Nam Bộ,Vốn đầu tư nước ngoài,quý 4,7 920,8 307,7 639
Thành phố Hồ Chí Minh,TỔNG SỐ,quý 4,8 259,8 608,7 845
Thành phố Hồ Chí Minh,Ngoài nhà nước,quý 4,8 603,8 963,8 211
Thành phố Hồ Chí Minh,Nhà nước,quý 4,8 167,8 478,7 756
Thành phố Hồ Chí Minh,Vốn đầu tư nước ngoài,quý 4,8 493,9 457,7 933
V6 Đồng bằng sông Cửu Long,TỔNG SỐ,quý 4,5 683,5 932,5 303
V6 Đồng bằng sông Cửu Long,Ngoài nhà nước,quý 4,6 281,6 599,5 898
V6 Đồng bằng sông Cửu Long,Nhà nước,quý 4,5 490,5 779,4 960
V6 Đồng bằng sông Cửu Long,Vốn đầu tư nước ngoài,quý 4,6 427,6 864,6 225
